File: head-index.test
Type: delay
Showing nodes accounting for 0.10ms, 100% of 0.10ms total
Dropped 4 nodes (cum <= 0)
      flat  flat%   sum%        cum   cum%
    0.10ms   100%   100%     0.10ms   100%  syscall.write
         0     0%   100%          0  4.31%  fmt.Fprintf
         0     0%   100%          0  2.16%  github.com/quic-go/quic-go.TestDatagramReceivePacedExperiment
         0     0%   100%          0  1.96%  github.com/quic-go/quic-go.TestMain
         0     0%   100%     0.10ms   100%  internal/poll.(*FD).Write
         0     0%   100%          0  1.96%  main.main
         0     0%   100%     0.10ms   100%  os.(*File).Write
         0     0%   100%     0.09ms 95.42%  runtime/trace.(*traceMultiplexer).startLocked.func1
         0     0%   100%          0  1.96%  testing.(*M).Run
         0     0%   100%          0  1.70%  testing.(*T).Run
         0     0%   100%          0  2.16%  testing.(*chattyPrinter).Updatef
         0     0%   100%          0  1.70%  testing.runTests
         0     0%   100%          0  1.70%  testing.runTests.func1
         0     0%   100%          0  4.31%  testing.tRunner
